year,yield_tonnes_per_hectare,yield_lag1,absolute_change,percentage_change,absolute_percentage_change,is_high_volatility
1961,0.23640001,,,,,False
1962,0.23780002,0.23640001,0.001400010000000007,0.5922207871311034,0.5922207871311034,False
1963,0.23510002,0.23780002,-0.002700000000000008,-1.1354078103105323,1.1354078103105323,False
1964,0.31410003,0.23510002,0.07900000999999998,33.60272364077212,33.60272364077212,True
1965,0.2272,0.31410003,-0.08690002999999996,-27.666355205378352,27.666355205378352,True
1966,0.2823,0.2272,0.05509999999999998,24.251760563380273,24.251760563380273,True
1967,0.2921,0.2823,0.009800000000000031,3.471484236627712,3.471484236627712,False
1968,0.2515,0.2921,-0.040600000000000025,-13.899349537829517,13.899349537829517,True
1969,0.28570002,0.2515,0.03420002,13.59841749502982,13.59841749502982,False
1970,0.2798,0.28570002,-0.005900020000000006,-2.065110110947842,2.065110110947842,False
1971,0.3133,0.2798,0.03350000000000003,11.972837741243758,11.972837741243758,False
1972,0.28670004,0.3133,-0.026599960000000034,-8.490252154484528,8.490252154484528,False
1973,0.245,0.28670004,-0.041700039999999994,-14.544832292314991,14.544832292314991,True
1974,0.27510002,0.245,0.030100020000000005,12.285722448979595,12.285722448979595,False
1975,0.2838,0.27510002,0.008699979999999996,3.1624788685947736,3.1624788685947736,False
1976,0.2513,0.2838,-0.03249999999999997,-11.451726568005629,11.451726568005629,False
1977,0.23120001,0.2513,-0.020099990000000012,-7.998404297652214,7.998404297652214,False
1978,0.22350001,0.23120001,-0.007700000000000012,-3.3304496829390327,3.3304496829390327,False
1979,0.23400001,0.22350001,0.01050000000000001,4.69798636698048,4.69798636698048,False
1980,0.231,0.23400001,-0.0030000099999999974,-1.2820555007668577,1.2820555007668577,False
1981,0.2054,0.231,-0.02560000000000001,-11.082251082251087,11.082251082251087,False
1982,0.22500001,0.2054,0.01960001,9.54236124634859,9.54236124634859,False
1983,0.21010001,0.22500001,-0.014899999999999997,-6.622221927901246,6.622221927901246,False
1984,0.20840001,0.21010001,-0.001700000000000007,-0.8091384669615233,0.8091384669615233,False
1985,0.216,0.20840001,0.007599990000000001,3.6468280399794613,3.6468280399794613,False
1986,0.24820001,0.216,0.03220001,14.907412037037037,14.907412037037037,True
1987,0.2545,0.24820001,0.006299990000000005,2.5382714529302417,2.5382714529302417,False
1988,0.34260002,0.2545,0.08810002,34.61690373280943,34.61690373280943,True
1989,0.4213,0.34260002,0.07869998,22.97138803436147,22.97138803436147,True
1990,0.42320004,0.4213,0.0019000399999999917,0.45099454070733247,0.45099454070733247,False
1991,0.33540002,0.42320004,-0.08780001999999998,-20.746694636418272,20.746694636418272,True
1992,0.43300003,0.33540002,0.09760000999999996,29.099583834252588,29.099583834252588,True
1993,0.36270002,0.43300003,-0.07030000999999997,-16.235567004464173,16.235567004464173,True
1994,0.41960004,0.36270002,0.056900019999999996,15.687900982194597,15.687900982194597,True
1995,0.40390003,0.41960004,-0.015700009999999986,-3.7416607491267126,3.7416607491267126,False
1996,0.3838,0.40390003,-0.020100030000000046,-4.976486384514516,4.976486384514516,False
1997,0.3,0.3838,-0.08379999999999999,-21.834288692027098,21.834288692027098,True
1998,0.3,0.3,0.0,0.0,0.0,False
1999,0.33400002,0.3,0.03400002000000002,11.333340000000007,11.333340000000007,False
2000,0.29110003,0.33400002,-0.04289999,-12.844307614113315,12.844307614113315,False
2001,0.28860003,0.29110003,-0.0025000000000000022,-0.858811316508625,0.858811316508625,False
2002,0.28500003,0.28860003,-0.003599999999999992,-1.2474011177337687,1.2474011177337687,False
2003,0.3313,0.28500003,0.04629996999999997,16.24560179870857,16.24560179870857,True
2004,0.36850002,0.3313,0.03720002,11.228499849079386,11.228499849079386,False
2005,0.4,0.36850002,0.03149998000000004,8.548162358308701,8.548162358308701,False
2006,0.4,0.4,0.0,0.0,0.0,False
2007,0.42000002,0.4,0.02000001999999995,5.000004999999987,5.000004999999987,False
2008,0.37350002,0.42000002,-0.046499999999999986,-11.07142804421771,11.07142804421771,False
2009,0.44410002,0.37350002,0.0706,18.902274757575647,18.902274757575647,True
2010,0.395,0.44410002,-0.049100019999999966,-11.056072458632173,11.056072458632173,False
2011,0.4374,0.395,0.04239999999999999,10.734177215189872,10.734177215189872,False
2012,0.54950005,0.4374,0.11210005,25.628726566072245,25.628726566072245,True
2013,0.5221,0.54950005,-0.02740005000000001,-4.9863598738526065,4.9863598738526065,False
2014,0.51000005,0.5221,-0.01209994999999997,-2.3175541084083453,2.3175541084083453,False
2015,0.51000005,0.51000005,0.0,0.0,0.0,False
2016,0.51000005,0.51000005,0.0,0.0,0.0,False
2017,0.5201,0.51000005,0.010099949999999969,1.9803821587860566,1.9803821587860566,False
2018,0.52400005,0.5201,0.0039000500000000438,0.7498654104979896,0.7498654104979896,False
2019,0.52820003,0.52400005,0.004199979999999992,0.8015228242821717,0.8015228242821717,False
2020,0.53830004,0.52820003,0.010100009999999937,1.9121562715549139,1.9121562715549139,False
2021,0.55,0.53830004,0.011699960000000065,2.1735016033065993,2.1735016033065993,False
2022,0.5606,0.55,0.010599999999999943,1.9272727272727168,1.9272727272727168,False
2023,0.5684,0.5606,0.007800000000000029,1.3913663931502014,1.3913663931502014,False
2024,0.57620007,0.5684,0.007800069999999937,1.3722853624208193,1.3722853624208193,False
