model_id,model_name,model_family,interval_strategy,fuzzy_order,interval_count,parameter_setting,forecast_target,correction_weight,anchor_model_id,mae,rmse,smape,mase,forecast_count,mae_rank,rmse_rank,smape_rank,mase_rank
chen_change_adaptive_k9_w100,Chen FTS Absolute Change Correction Adaptive Intervals k=9 w100,fuzzy_time_series,adaptive_quantile,1.0,9.0,forecast_target=absolute_change;k=9;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,1.0,baseline_naive,0.029492879336056637,0.04151550196593178,7.595734192687811,0.9237490714796452,34,1,4,1,1
chen_change_equal_k7_w050,Chen FTS Absolute Change Correction Equal Intervals k=7 w050,fuzzy_time_series,equal_length,1.0,7.0,forecast_target=absolute_change;k=7;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.02961827703639844,0.04122589711720318,7.63127444692615,0.9242645953579123,34,2,2,2,2
chen_change_adaptive_k9_w050,Chen FTS Absolute Change Correction Adaptive Intervals k=9 w050,fuzzy_time_series,adaptive_quantile,1.0,9.0,forecast_target=absolute_change;k=9;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.02992000356672112,0.041076235410543144,7.666711296447276,0.9367983005444676,34,3,1,3,3
chen_change_equal_k5_w100,Chen FTS Absolute Change Correction Equal Intervals k=5 w100,fuzzy_time_series,equal_length,1.0,5.0,forecast_target=absolute_change;k=5;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,1.0,baseline_naive,0.030107739177984854,0.04297286872451855,7.770985301525371,0.9372413154449533,34,4,11,5,4
chen_change_equal_k7_w100,Chen FTS Absolute Change Correction Equal Intervals k=7 w100,fuzzy_time_series,equal_length,1.0,7.0,forecast_target=absolute_change;k=7;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,1.0,baseline_naive,0.030409239724057388,0.04265458355903699,7.850041963414227,0.9419391791850584,34,5,10,7,5
chen_change_adaptive_k11_w050,Chen FTS Absolute Change Correction Adaptive Intervals k=11 w050,fuzzy_time_series,adaptive_quantile,1.0,11.0,forecast_target=absolute_change;k=11;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.03047014268571746,0.04140018725387124,7.73568974201822,0.9543960371868243,34,6,3,4,7
chen_change_equal_k5_w050,Chen FTS Absolute Change Correction Equal Intervals k=5 w050,fuzzy_time_series,equal_length,1.0,5.0,forecast_target=absolute_change;k=5;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.03047211785625937,0.04264130290146194,7.792256443092401,0.951005309825001,34,7,9,6,6
chen_pct_change_adaptive_k5_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=5 w050,fuzzy_time_series,adaptive_quantile,1.0,5.0,forecast_target=percentage_change;k=5;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.030853973623755925,0.04208603099234868,7.899240200079962,0.9617748045405411,34,8,5,8,8
chen_pct_change_adaptive_k5_w100,Chen FTS Percentage Change Correction Adaptive Intervals k=5 w100,fuzzy_time_series,adaptive_quantile,1.0,5.0,forecast_target=percentage_change;k=5;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,1.0,baseline_naive,0.03109789510896989,0.04249307800582366,7.981754664376447,0.9657477692002686,34,9,6,11,9
chen_pct_change_adaptive_k9_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=9 w050,fuzzy_time_series,adaptive_quantile,1.0,9.0,forecast_target=percentage_change;k=9;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.03124474466801084,0.043917902702831794,7.941144802924333,0.9764116907625159,34,10,14,9,10
