forecast_year,actual_yield,previous_yield,actual_change,actual_percentage_change,absolute_actual_percentage_change,evaluation_volatility_threshold
1992,0.43300003,0.33540002,0.09760000999999996,29.099583834252588,29.099583834252588,12.466565710584987
2012,0.54950005,0.4374,0.11210005,25.628726566072245,25.628726566072245,12.466565710584987
1997,0.3,0.3838,-0.08379999999999999,-21.834288692027098,21.834288692027098,12.466565710584987
1991,0.33540002,0.42320004,-0.08780001999999998,-20.746694636418272,20.746694636418272,12.466565710584987
2009,0.44410002,0.37350002,0.0706,18.902274757575647,18.902274757575647,12.466565710584987
2003,0.3313,0.28500003,0.04629996999999997,16.24560179870857,16.24560179870857,12.466565710584987
1993,0.36270002,0.43300003,-0.07030000999999997,-16.235567004464173,16.235567004464173,12.466565710584987
1994,0.41960004,0.36270002,0.056900019999999996,15.687900982194597,15.687900982194597,12.466565710584987
2000,0.29110003,0.33400002,-0.04289999,-12.844307614113315,12.844307614113315,12.466565710584987
