initial_training_observations,evaluation_view,best_correction_model_id,best_correction_mae,best_correction_rmse,best_correction_smape,best_correction_mase,forecast_target,interval_strategy,interval_count,correction_weight,best_reference_model_id,best_reference_mae,best_existing_fuzzy_model_id,best_existing_fuzzy_mae,naive_mae,arima_aic_mae,correction_minus_naive,correction_minus_arima_aic,correction_minus_existing_fuzzy,correction_beats_naive,correction_beats_arima_aic,correction_beats_existing_fuzzy
25,high_volatility,chen_change_adaptive_k11_w100,0.06528056765530302,0.07497369785227255,16.829211051742156,2.2040339123325974,absolute_change,adaptive_quantile,11,1.0,chen_change_adaptive_k11_w100,0.065280567655303,chen_change_adaptive_k11_w100,0.065280567655303,0.0792200079999999,0.0842594435224077,-0.01393944034469688,-0.018978875867104686,1.3877787807814457e-17,True,True,False
30,high_volatility,chen_change_adaptive_k9_w100,0.05734998308539094,0.0673157564532637,14.63840462584897,1.8426431948006785,absolute_change,adaptive_quantile,9,1.0,chen_adaptive_k9,0.0564395468806584,chen_adaptive_k9,0.0564395468806584,0.0742555633333333,0.0738201520628293,-0.016905580247942364,-0.01647016897743836,0.0009104362047325371,True,True,False
25,normal_volatility,chen_change_equal_k7_w025,0.01664092045162672,0.022021242176039037,4.531737374402143,0.5207112450837867,absolute_change,equal_length,7,0.25,baseline_naive,0.0169517293103448,chen_change_equal_k7_w050,0.0172710939869972,0.0169517293103448,0.0207225923575471,-0.000310808858718082,-0.004081671905920382,-0.0006301735353704818,True,True,True
30,normal_volatility,chen_change_equal_k7_w025,0.01597686598822033,0.021285686885553195,4.031715003856447,0.4881571707233643,absolute_change,equal_length,7,0.25,baseline_drift,0.0162448519533723,chen_change_equal_k7_w050,0.0167132667535835,0.0163320047999999,0.0194118589793206,-0.000355138811779572,-0.0034349929911002726,-0.0007364007653631703,True,True,True
25,overall,chen_change_adaptive_k9_w075,0.031870226453703694,0.044206754677807984,8.669910728867386,1.0478366575595282,absolute_change,adaptive_quantile,9,0.75,chen_change_adaptive_k9_w050,0.0320663339748337,chen_change_adaptive_k9_w050,0.0320663339748337,0.0329179546153846,0.0370140926562293,-0.0010477281616809025,-0.005143866202525604,-0.00019610752113000812,True,True,True
30,overall,chen_change_adaptive_k9_w075,0.029255248707924827,0.04083467348857102,7.531064918846776,0.916645769315966,absolute_change,adaptive_quantile,9,0.75,chen_change_adaptive_k9_w100,0.0294928793360566,chen_change_adaptive_k9_w100,0.0294928793360566,0.0316647114705882,0.0338140542073082,-0.002409462762663371,-0.004558805499383374,-0.00023763062813177138,True,True,True
