year,yield_tonnes_per_hectare,yield_lag1,absolute_change,percentage_change,absolute_percentage_change,exploratory_volatility_threshold
1988,0.34260002,0.2545,0.08810002,34.61690373280943,34.61690373280943,13.748883516429668
1964,0.31410003,0.23510002,0.0790000099999999,33.60272364077212,33.60272364077212,13.748883516429668
1992,0.43300003,0.33540002,0.0976000099999999,29.099583834252588,29.099583834252588,13.748883516429668
1965,0.2272,0.31410003,-0.0869000299999999,-27.666355205378352,27.666355205378352,13.748883516429668
2012,0.54950005,0.4374,0.11210005,25.628726566072245,25.628726566072245,13.748883516429668
1966,0.2823,0.2272,0.0550999999999999,24.251760563380277,24.251760563380277,13.748883516429668
1989,0.4213,0.34260002,0.07869998,22.97138803436147,22.97138803436147,13.748883516429668
1997,0.3,0.3838,-0.0837999999999999,-21.834288692027098,21.834288692027098,13.748883516429668
1991,0.33540002,0.42320004,-0.0878000199999999,-20.746694636418272,20.746694636418272,13.748883516429668
2009,0.44410002,0.37350002,0.0706,18.902274757575647,18.902274757575647,13.748883516429668
2003,0.3313,0.28500003,0.0462999699999999,16.24560179870857,16.24560179870857,13.748883516429668
1993,0.36270002,0.43300003,-0.0703000099999999,-16.235567004464173,16.235567004464173,13.748883516429668
1994,0.41960004,0.36270002,0.0569000199999999,15.687900982194597,15.687900982194597,13.748883516429668
1986,0.24820001,0.216,0.03220001,14.907412037037036,14.907412037037036,13.748883516429668
1973,0.245,0.28670004,-0.0417000399999999,-14.544832292314991,14.544832292314991,13.748883516429668
1968,0.2515,0.2921,-0.0406,-13.899349537829517,13.899349537829517,13.748883516429668
